Year,Week,Status,Interpolated (%),Total Concentration,Old Ice,First-Year Ice,Young Ice,New Ice,Average Total Concentration,Median Total Concentration
1968,19681008,2,0,0.2424,0.2424,0,0,0,0.4204,0.445
1969,19691008,2,0,0.6275,0.213,0.0137,0.2669,0.138,0.4204,0.445
1970,19701008,2,0,0.9533,0.2395,0.0133,0.622,0.1006,0.4204,0.445
1971,19711008,2,0,0.3386,0.1699,0,0.06,0.1134,0.4204,0.445
1972,19721008,2,0,0.3114,0.0866,0.0016,0.0985,0.1252,0.4204,0.445
1973,19731008,2,0,0.0971,0.066,0,0,0.0311,0.4204,0.445
1974,19741008,1,100,0.9682,0.3626,0.167,0.3779,0.0881,0.4204,0.445
1975,19751008,2,0,0.9172,0.5572,0,0.2508,0.1331,0.4204,0.445
1976,19761008,2,0,0.0155,0,0,0.0012,0.0143,0.4204,0.445
1977,19771008,2,0,0.0081,0.0081,0,0,0,0.4204,0.445
1978,19781008,2,0,0.554,0.032,0,0.0921,0.4331,0.4204,0.445
1979,19791008,2,0,0.0743,0,0,0.0066,0.0677,0.4204,0.445
1980,19801008,2,0,0.8005,0.2695,0.0098,0.3796,0.1617,0.4204,0.445
1981,19811008,2,0,0.3945,0.0579,0.0078,0.1196,0.2152,0.4204,0.445
1982,19821008,2,0,0.1581,0,0,0,0.1581,0.4204,0.445
1983,19831008,2,0,0.9654,0.5586,0,0.1282,0.3082,0.4204,0.445
1984,19841008,2,0,0.5586,0.1253,0,0.3014,0.1419,0.4204,0.445
1985,19851008,2,0,0.6392,0.4673,0,0,0.1727,0.4204,0.445
1986,19861008,2,0,0.4945,0.1923,0.0013,0.1406,0.1612,0.4204,0.445
1987,19871008,2,0,0.1375,0.0671,0,0,0.0727,0.4204,0.445
1988,19881008,2,0,0.6127,0.3163,0,0.0629,0.2335,0.4204,0.445
1989,19891008,2,0,0.1231,0.094,0,0,0.0307,0.4204,0.445
1990,19901008,2,0,0.444,0.2833,0,0.0846,0.0789,0.4204,0.445
1991,19911008,2,0,0.4459,0.3263,0,0,0.125,0.4204,0.445
1992,19921008,2,0,0.9383,0.4987,0,0.373,0.0863,0.4204,0.445
1993,19931008,2,0,0.0606,0.0307,0,0.0301,0,0.4204,0.445
1994,19941008,2,0,0.5145,0.2484,0,0.1136,0.1634,0.4204,0.445
1995,19951008,2,0,0.0738,0.0235,0,0.0443,0.0083,0.4204,0.445
1996,19961008,2,0,0.9403,0.7824,0,0.1605,0,0.4204,0.445
1997,19971008,2,0,0.1961,0.0289,0,0.0226,0.1486,0.4204,0.445
1998,19981008,2,0,0.0038,0.0009,0,0,0.0028,0.4204,0.445
1999,19991008,2,0,0.5645,0.1264,0,0.1714,0.2792,0.4204,0.445
2000,20001008,2,0,0.9681,0.1273,0.0067,0.6329,0.2226,0.4204,0.445
2001,20011008,2,0,0.5384,0.3201,0,0.1001,0.1333,0.4204,0.445
2002,20021008,2,0,0.2192,0.103,0,0.0444,0.075,0.4204,0.445
2003,20031008,2,0,0.5263,0.4276,0,0.035,0.0671,0.4204,0.445
2004,20041008,2,0,0.4632,0.2312,0,0.1056,0.131,0.4204,0.445
2005,20051008,2,0,0.7894,0.1799,0,0.1713,0.4437,0.4204,0.445
2006,20061008,2,0,0.0345,0.0082,0,0.0096,0.0171,0.4204,0.445
2007,20071008,2,0,0.3279,0.0124,0,0.0472,0.2707,0.4204,0.445
2008,20081008,2,0,0.113,0.038,0,0.0317,0.0448,0.4204,0.445
2009,20091008,2,0,0.2515,0.1997,0,0.0259,0.0302,0.4204,0.445
2010,20101008,2,0,0.1165,0.0098,0,0.0565,0.0517,0.4204,0.445
2011,20111008,2,0,0.032,0.001,0,0.002,0.029,0.4204,0.445
2012,20121008,2,0,0,0,0,0,0,0.4204,0.445
2013,20131008,2,0,0.2447,0.1531,0,0.0086,0.0852,0.4204,0.445
2014,20141008,2,0,0.0666,0.0206,0,0.0053,0.0408,0.4204,0.445
2015,20151008,2,0,0.0735,0.0296,0,0.0168,0.0272,0.4204,0.445
2016,20161008,2,0,0.0024,0,0,0.0007,0.0017,0.4204,0.445
2017,20171008,0,0,0,0,0,0,0,0.4204,0.445