Bore.hole,Depth,date,resistance,multimeter,res.corrected,temperature,beta
15 m,1,15-Sep-11,NA,new,,NA,NA
15 m,2,15-Sep-11,NA,new,,NA,NA
15 m,3,15-Sep-11,NA,new,,NA,NA
15 m,4,15-Sep-11,NA,new,,NA,NA
15 m,5,15-Sep-11,NA,new,,NA,NA
15 m,7,15-Sep-11,NA,new,,NA,NA
15 m,10,15-Sep-11,NA,new,,NA,NA
15 m,12,15-Sep-11,NA,new,,NA,NA
15 m,15,15-Sep-11,NA,new,,NA,NA
43 m,12,15-Sep-11,NA,new,,NA,NA
43 m,16,15-Sep-11,NA,new,,NA,NA
43 m,20,15-Sep-11,NA,new,,NA,NA
43 m,24,15-Sep-11,NA,new,,NA,NA
43 m,28,15-Sep-11,NA,new,,NA,NA
43 m,32,15-Sep-11,NA,new,,NA,NA
43 m,36,15-Sep-11,NA,new,,NA,NA
43 m,40,15-Sep-11,NA,new,,NA,NA
43 m,42,15-Sep-11,NA,new,,NA,NA
15 m,1,14-Apr-12,16960,new,16924,NA,NA
15 m,2,14-Apr-12,16432,new,16435,NA,NA
15 m,3,14-Apr-12,13225,new,13203,NA,NA
15 m,4,14-Apr-12,13432,new,13385,NA,NA
15 m,5,14-Apr-12,12299,new,12243,-9.677651109,1641.14801
15 m,7,14-Apr-12,12668,new,12683,NA,NA
15 m,10,14-Apr-12,12531,new,12515,NA,NA
15 m,12,14-Apr-12,12673,new,12685,NA,NA
15 m,15,14-Apr-12,12474,new,12435,-9.963190317,1641.14801
43 m,12,14-Apr-12,10630,new,10648,-7.088340578,1641.14801
43 m,16,14-Apr-12,10998,new,10980,-7.662257677,1641.14801
43 m,20,14-Apr-12,11170,new,11155,-7.956863199,1641.14801
43 m,24,14-Apr-12,11241,new,11250,-8.114593086,1641.14801
43 m,28,14-Apr-12,11305,new,11316,-8.223282389,1641.14801
43 m,32,14-Apr-12,11427,new,11422,-8.396340132,1641.14801
43 m,36,14-Apr-12,11490,new,11481,-8.49187334,1641.14801
43 m,40,14-Apr-12,11545,new,11556,-8.612509054,1641.14801
43 m,42,14-Apr-12,11554,new,11544,-8.593267421,1641.14801
15 m,1,15-May-12,9815,new,9779,-5.483914962,1641.14801
15 m,2,15-May-12,13166,new,13169,NA,NA
15 m,3,15-May-12,13529,new,13507,NA,NA
15 m,4,15-May-12,13233,new,13186,NA,NA
15 m,5,15-May-12,12605,new,12549,NA,NA
15 m,7,15-May-12,11108,new,11123,-7.903387957,1641.14801
15 m,10,15-May-12,10692,new,10676,-7.13752646,1641.14801
15 m,12,15-May-12,10685,new,10697,-7.174319395,1641.14801
15 m,15,15-May-12,10960,new,10921,-7.561724584,1641.14801
43 m,12,15-May-12,10647,new,10665,-7.118221005,1641.14801
43 m,16,15-May-12,10984,new,10966,-7.638458215,1641.14801
43 m,20,15-May-12,11164,new,11149,-7.946849927,1641.14801
43 m,24,15-May-12,11237,new,11246,-8.107982502,1641.14801
43 m,28,15-May-12,11302,new,11313,-8.218357663,1641.14801
43 m,32,15-May-12,11424,new,11419,-8.391467489,1641.14801
43 m,36,15-May-12,11489,new,11480,-8.4902588,1641.14801
43 m,40,15-May-12,11544,new,11555,-8.610906454,1641.14801
43 m,42,15-May-12,11553,new,11543,-8.591662923,1641.14801
15 m,1,15-Jun-12,7623,new,7587,-0.608462841,1650.168558
15 m,2,15-Jun-12,9694,new,9697,-5.324169321,1641.14801
15 m,3,15-Jun-12,11058,new,11036,-7.757110631,1641.14801
15 m,4,15-Jun-12,11830,new,11783,-8.972264442,1641.14801
15 m,5,15-Jun-12,12011,new,11955,-9.239633498,1641.14801
15 m,7,15-Jun-12,11339,new,11354,-8.285533699,1641.14801
15 m,10,15-Jun-12,10892,new,10876,-7.484629478,1641.14801
15 m,12,15-Jun-12,10739,new,10751,-7.268552694,1641.14801
15 m,15,15-Jun-12,10954,new,10915,-7.551466191,1641.14801
43 m,12,15-Jun-12,10687,new,10705,-7.188314082,1641.14801
43 m,16,15-Jun-12,10974,new,10956,-7.621437372,1641.14801
43 m,20,15-Jun-12,11164,new,11149,-7.946849927,1641.14801
43 m,24,15-Jun-12,11238,new,11247,-8.109635399,1641.14801
43 m,28,15-Jun-12,11305,new,11316,-8.223282389,1641.14801
43 m,32,15-Jun-12,11425,new,11420,-8.393091865,1641.14801
43 m,36,15-Jun-12,11493,new,11484,-8.496715999,1641.14801
43 m,40,15-Jun-12,11547,new,11558,-8.615713778,1641.14801
43 m,42,15-Jun-12,11553,new,11543,-8.591662923,1641.14801
15 m,1,15-Jul-12,NA,new,,NA,NA
15 m,2,15-Jul-12,NA,new,,NA,NA
15 m,3,15-Jul-12,NA,new,,NA,NA
15 m,4,15-Jul-12,NA,new,,NA,NA
15 m,5,15-Jul-12,NA,new,,NA,NA
15 m,7,15-Jul-12,NA,new,,NA,NA
15 m,10,15-Jul-12,NA,new,,NA,NA
15 m,12,15-Jul-12,NA,new,,NA,NA
15 m,15,15-Jul-12,NA,new,,NA,NA
43 m,12,15-Jul-12,NA,new,,NA,NA
43 m,16,15-Jul-12,NA,new,,NA,NA
43 m,20,15-Jul-12,NA,new,,NA,NA
43 m,24,15-Jul-12,NA,new,,NA,NA
43 m,28,15-Jul-12,NA,new,,NA,NA
43 m,32,15-Jul-12,NA,new,,NA,NA
43 m,36,15-Jul-12,NA,new,,NA,NA
43 m,40,15-Jul-12,NA,new,,NA,NA
43 m,42,15-Jul-12,NA,new,,NA,NA
15 m,1,15-Aug-12,5908,new,5872,4.469879936,1659.127643
15 m,2,15-Aug-12,8121,new,8124,-1.938813,1650.168558
15 m,3,15-Aug-12,9126,new,9104,-4.125795241,1650.168558
15 m,4,15-Aug-12,9959,new,9912,-5.73979026,1641.14801
15 m,5,15-Aug-12,10510,new,10454,-6.7434478,1641.14801
15 m,7,15-Aug-12,11015,new,11030,-7.7469741,1641.14801
15 m,10,15-Aug-12,11062,new,11046,-7.773990891,1641.14801
15 m,12,15-Aug-12,10879,new,10891,-7.510368208,1641.14801
15 m,15,15-Aug-12,10994,new,10955,-7.619734313,1641.14801
43 m,12,15-Aug-12,10854,new,10872,-7.477758978,1641.14801
43 m,16,15-Aug-12,10979,new,10961,-7.629950007,1641.14801
43 m,20,15-Aug-12,11144,new,11129,-7.913427918,1641.14801
43 m,24,15-Aug-12,11228,new,11237,-8.093098878,1641.14801
43 m,28,15-Aug-12,11293,new,11304,-8.203574547,1641.14801
43 m,32,15-Aug-12,11414,new,11409,-8.375214797,1641.14801
43 m,36,15-Aug-12,11480,new,11471,-8.475720719,1641.14801
43 m,40,15-Aug-12,11536,new,11547,-8.598079966,1641.14801
43 m,42,15-Aug-12,11545,new,11535,-8.578821227,1641.14801
15 m,1,15-Sep-12,NA,new,,NA,NA
15 m,2,15-Sep-12,NA,new,,NA,NA
15 m,3,15-Sep-12,NA,new,,NA,NA
15 m,4,15-Sep-12,NA,new,,NA,NA
15 m,5,15-Sep-12,NA,new,,NA,NA
15 m,7,15-Sep-12,NA,new,,NA,NA
15 m,10,15-Sep-12,NA,new,,NA,NA
15 m,12,15-Sep-12,NA,new,,NA,NA
15 m,15,15-Sep-12,NA,new,,NA,NA
43 m,12,15-Sep-12,NA,new,,NA,NA
43 m,16,15-Sep-12,NA,new,,NA,NA
43 m,20,15-Sep-12,NA,new,,NA,NA
43 m,24,15-Sep-12,NA,new,,NA,NA
43 m,28,15-Sep-12,NA,new,,NA,NA
43 m,32,15-Sep-12,NA,new,,NA,NA
43 m,36,15-Sep-12,NA,new,,NA,NA
43 m,40,15-Sep-12,NA,new,,NA,NA
43 m,42,15-Sep-12,NA,new,,NA,NA
15 m,1,16-Apr-13,16820,new,16784,-15.4,NA
15 m,2,16-Apr-13,16188,new,16191,-14.8,NA
15 m,3,16-Apr-13,14807,new,14785,-13.15,NA
15 m,4,16-Apr-13,13285,new,13238,-11.15,NA
15 m,5,16-Apr-13,12225,new,12169,-9.566234497,1641.14801
15 m,7,16-Apr-13,10829,new,10844,-7.429584602,1641.14801
15 m,10,16-Apr-13,10817,new,10801,-7.355325586,1641.14801
15 m,12,16-Apr-13,10706,new,10718,-7.211030024,1641.14801
15 m,15,16-Apr-13,10981,new,10942,-7.597578401,1641.14801
43 m,12,16-Apr-13,10674,new,10692,-7.165566651,1641.14801
43 m,16,16-Apr-13,10998,new,10980,-7.662257677,1641.14801
43 m,20,16-Apr-13,11146,new,11131,-7.9167732,1641.14801
43 m,24,16-Apr-13,11809,new,11818,-9.027029923,1641.14801
43 m,28,16-Apr-13,11276,new,11287,-8.175614232,1641.14801
43 m,32,16-Apr-13,11404,new,11399,-8.358945855,1641.14801
43 m,36,16-Apr-13,11464,new,11455,-8.449843103,1641.14801
43 m,40,16-Apr-13,11527,new,11538,-8.583638052,1641.14801
43 m,42,16-Apr-13,11537,new,11527,-8.565969374,1641.14801
15 m,1,15-May-13,12334,new,12298,-9.759964805,1641.14801
15 m,2,15-May-13,13670,new,13673,-11.7,NA
15 m,3,15-May-13,13751,new,13729,-11.8,NA
15 m,4,15-May-13,13284,new,13237,-11.15,NA
15 m,5,15-May-13,12517,new,12461,-10.1,NA
15 m,7,15-May-13,11183,new,11198,-8.028445729,1641.14801
15 m,10,15-May-13,10770,new,10754,-7.273772038,1641.14801
15 m,12,15-May-13,10721,new,10733,-7.237201701,1641.14801
15 m,15,15-May-13,10961,new,10922,-7.563433691,1641.14801
43 m,12,15-May-13,10702,new,10720,-7.214521994,1641.14801
43 m,16,15-May-13,10985,new,10967,-7.640159325,1641.14801
43 m,20,15-May-13,11145,new,11130,-7.915100644,1641.14801
43 m,24,15-May-13,11209,new,11218,-8.061633208,1641.14801
43 m,28,15-May-13,11272,new,11283,-8.169028355,1641.14801
43 m,32,15-May-13,11402,new,11397,-8.355690113,1641.14801
43 m,36,15-May-13,11471,new,11462,-8.461169627,1641.14801
43 m,40,15-May-13,11530,new,11541,-8.58845345,1641.14801
43 m,42,15-May-13,11537,new,11527,-8.565969374,1641.14801
15 m,1,15-Jun-13,7460,new,7424,-0.183233204,1650.168558
15 m,2,15-Jun-13,9903,new,9906,-5.728331633,1641.14801
15 m,3,15-Jun-13,12312,new,12290,-9.748018001,1641.14801
15 m,4,15-Jun-13,12057,new,12010,-9.324205435,1641.14801
15 m,5,15-Jun-13,12174,new,12118,-9.488997024,1641.14801
15 m,7,15-Jun-13,11425,new,11440,-8.425545385,1641.14801
15 m,10,15-Jun-13,10956,new,10940,-7.594167134,1641.14801
15 m,12,15-Jun-13,10776,new,10788,-7.33280878,1641.14801
15 m,15,15-Jun-13,10966,new,10927,-7.57197655,1641.14801
43 m,12,15-Jun-13,10760,new,10778,-7.315467089,1641.14801
43 m,16,15-Jun-13,10977,new,10959,-7.626545484,1641.14801
43 m,20,15-Jun-13,11136,new,11121,-7.900039931,1641.14801
43 m,24,15-Jun-13,11205,new,11214,-8.055001113,1641.14801
43 m,28,15-Jun-13,11275,new,11286,-8.173968012,1641.14801
43 m,32,15-Jun-13,11403,new,11398,-8.357318065,1641.14801
43 m,36,15-Jun-13,11472,new,11463,-8.462787058,1641.14801
43 m,40,15-Jun-13,11530,new,11541,-8.58845345,1641.14801
43 m,42,15-Jun-13,11537,new,11527,-8.565969374,1641.14801
15 m,1,15-Jul-13,6461,new,6425,2.66593449,1659.127643
15 m,2,15-Jul-13,8785,new,8788,-3.451221096,1650.168558
15 m,3,15-Jul-13,9984,new,9962,-5.834971981,1641.14801
15 m,4,15-Jul-13,10843,new,10796,-7.346668936,1641.14801
15 m,5,15-Jul-13,11304,new,11248,-8.111288129,1641.14801
15 m,7,15-Jul-13,11348,new,11363,-8.300242639,1641.14801
15 m,10,15-Jul-13,11087,new,11071,-7.816115405,1641.14801
15 m,12,15-Jul-13,10846,new,10858,-7.453689502,1641.14801
15 m,15,15-Jul-13,10977,new,10938,-7.590755156,1641.14801
43 m,12,15-Jul-13,10835,new,10853,-7.445084681,1641.14801
43 m,16,15-Jul-13,10981,new,10963,-7.633353821,1641.14801
43 m,20,15-Jul-13,11136,new,11121,-7.900039931,1641.14801
43 m,24,15-Jul-13,11207,new,11216,-8.058317497,1641.14801
43 m,28,15-Jul-13,11273,new,11284,-8.170675074,1641.14801
43 m,32,15-Jul-13,11401,new,11396,-8.354061999,1641.14801
43 m,36,15-Jul-13,11470,new,11461,-8.459552035,1641.14801
43 m,40,15-Jul-13,11526,new,11537,-8.582032603,1641.14801
43 m,42,15-Jul-13,11534,new,11524,-8.561147307,1641.14801
15 m,1,15-Aug-13,5718,new,5682,5.134419765,1666.952791
15 m,2,15-Aug-13,8207,new,8210,-2.142510081,1650.168558
15 m,3,15-Aug-13,9249,new,9227,-4.381172207,1650.168558
15 m,4,15-Aug-13,10071,new,10024,-5.952242794,1641.14801
15 m,5,15-Aug-13,10608,new,10552,-6.918576223,1641.14801
15 m,7,15-Aug-13,11096,new,11111,-7.883289494,1641.14801
15 m,10,15-Aug-13,11129,new,11113,-7.886640956,1641.14801
15 m,12,15-Aug-13,10918,new,10930,-7.577100126,1641.14801
15 m,15,15-Aug-13,11007,new,10968,-7.641860259,1641.14801
43 m,12,15-Aug-13,10895,new,10913,-7.548045298,1641.14801
43 m,16,15-Aug-13,10990,new,10972,-7.648662225,1641.14801
43 m,20,15-Aug-13,11127,new,11112,-7.884965311,1641.14801
43 m,24,15-Aug-13,11198,new,11207,-8.043388452,1641.14801
43 m,28,15-Aug-13,11267,new,11278,-8.160792265,1641.14801
43 m,32,15-Aug-13,11397,new,11392,-8.34754791,1641.14801
43 m,36,15-Aug-13,11465,new,11456,-8.451461661,1641.14801
43 m,40,15-Aug-13,11524,new,11535,-8.578821227,1641.14801
43 m,42,15-Aug-13,11533,new,11523,-8.559539634,1641.14801
15 m,1,5-Sep-13,6803,new,6767,1.637058758,1659.127643
15 m,2,5-Sep-13,8018,new,8021,-1.691582539,1650.168558
15 m,3,5-Sep-13,8931,new,8909,-3.712747239,1650.168558
15 m,4,5-Sep-13,9705,new,9658,-5.247650625,1641.14801
15 m,5,5-Sep-13,10255,new,10199,-6.27883388,1641.14801
15 m,7,5-Sep-13,10903,new,10918,-7.556596191,1641.14801
15 m,10,5-Sep-13,11096,new,11080,-7.831253681,1641.14801
15 m,12,5-Sep-13,10945,new,10957,-7.623140253,1641.14801
15 m,15,5-Sep-13,11025,new,10986,-7.672446855,1641.14801
43 m,12,5-Sep-13,10421,new,10439,-6.716477184,1641.14801
43 m,16,5-Sep-13,11002,new,10984,-7.669051168,1641.14801
43 m,20,5-Sep-13,11131,new,11116,-7.89166686,1641.14801
43 m,24,5-Sep-13,11200,new,11209,-8.046707199,1641.14801
43 m,28,5-Sep-13,11269,new,11280,-8.164087201,1641.14801
43 m,32,5-Sep-13,11401,new,11396,-8.354061999,1641.14801
43 m,36,5-Sep-13,11467,new,11458,-8.454698294,1641.14801
43 m,40,5-Sep-13,11527,new,11538,-8.583638052,1641.14801
43 m,42,5-Sep-13,11539,new,11529,-8.56918329,1641.14801
15 m,1,13-Apr-14,14050,new,14014,NA,NA
15 m,2,13-Apr-14,13481,new,13484,NA,NA
15 m,3,13-Apr-14,12294,new,12272,-9.721105264,1641.14801
15 m,4,13-Apr-14,11501,new,11454,-8.448224384,1641.14801
15 m,5,13-Apr-14,11008,new,10952,-7.614624073,1641.14801
15 m,7,13-Apr-14,10361,new,10376,-6.602715727,1641.14801
15 m,10,13-Apr-14,10533,new,10517,-6.856244178,1641.14801
15 m,12,13-Apr-14,10712,new,10724,-7.221503706,1641.14801
15 m,15,13-Apr-14,10986,new,10947,-7.606103457,1641.14801
43 m,12,13-Apr-14,10675,new,10693,-7.167317573,1641.14801
43 m,16,13-Apr-14,11003,new,10985,-7.670749099,1641.14801
43 m,20,13-Apr-14,11137,new,11122,-7.90171403,1641.14801
43 m,24,13-Apr-14,11191,new,11200,-8.031767518,1641.14801
43 m,28,13-Apr-14,11256,new,11267,-8.142658202,1641.14801
43 m,32,13-Apr-14,11382,new,11377,-8.323096831,1641.14801
43 m,36,13-Apr-14,11453,new,11444,-8.432028326,1641.14801
43 m,40,13-Apr-14,11513,new,11524,-8.561147307,1641.14801
43 m,42,13-Apr-14,11522,new,11512,-8.541844719,1641.14801
15 m,1,15-May-14,8304,new,8268,-2.278515392,1650.168558
15 m,2,15-May-14,10421,new,10424,-6.689462313,1641.14801
15 m,3,15-May-14,11363,new,11341,-8.264263966,1641.14801
15 m,4,15-May-14,11543,new,11496,-8.516072223,1641.14801
15 m,5,15-May-14,11301,new,11245,-8.106329436,1641.14801
15 m,7,15-May-14,10634,new,10649,-7.090099756,1641.14801
15 m,10,15-May-14,10606,new,10590,-6.985984497,1641.14801
15 m,12,15-May-14,10699,new,10711,-7.198802271,1641.14801
15 m,15,15-May-14,10966,new,10927,-7.57197655,1641.14801
43 m,12,15-May-14,10672,new,10690,-7.162064245,1641.14801
43 m,16,15-May-14,10484,new,10466,-6.764992519,1641.14801
43 m,20,15-May-14,11136,new,11121,-7.900039931,1641.14801
43 m,24,15-May-14,11195,new,11204,-8.038409065,1641.14801
43 m,28,15-May-14,11256,new,11267,-8.142658202,1641.14801
43 m,32,15-May-14,11385,new,11380,-8.327989986,1641.14801
43 m,36,15-May-14,11451,new,11442,-8.428787178,1641.14801
43 m,40,15-May-14,11510,new,11521,-8.556323809,1641.14801
43 m,42,15-May-14,11521,new,11511,-8.540235135,1641.14801
15 m,1,15-Jun-14,7628,new,7592,-0.621341118,1650.168558
15 m,2,15-Jun-14,9018,new,9021,-3.951231702,1650.168558
15 m,3,15-Jun-14,9965,new,9943,-5.7988673,1641.14801
15 m,4,15-Jun-14,10586,new,10539,-6.895451894,1641.14801
15 m,5,15-Jun-14,10848,new,10792,-7.339740323,1641.14801
15 m,7,15-Jun-14,10750,new,10765,-7.292895432,1641.14801
15 m,10,15-Jun-14,10702,new,10686,-7.155057192,1641.14801
15 m,12,15-Jun-14,10709,new,10721,-7.2162677,1641.14801
15 m,15,15-Jun-14,10952,new,10913,-7.548045298,1641.14801
43 m,12,15-Jun-14,10700,new,10718,-7.211030024,1641.14801
43 m,16,15-Jun-14,10978,new,10960,-7.628247834,1641.14801
43 m,20,15-Jun-14,11133,new,11118,-7.895016604,1641.14801
43 m,24,15-Jun-14,11192,new,11201,-8.033428158,1641.14801
43 m,28,15-Jun-14,11256,new,11267,-8.142658202,1641.14801
43 m,32,15-Jun-14,11381,new,11376,-8.321465453,1641.14801
43 m,36,15-Jun-14,11453,new,11444,-8.432028326,1641.14801
43 m,40,15-Jun-14,11513,new,11524,-8.561147307,1641.14801
43 m,42,15-Jun-14,11522,new,11512,-8.541844719,1641.14801
15 m,1,14-Jul-14,6023,new,5987,4.079140421,1659.127643
15 m,2,14-Jul-14,8407,new,8410,-2.606943674,1650.168558
15 m,3,14-Jul-14,9320,new,9298,-4.526822257,1650.168558
15 m,4,14-Jul-14,9985,new,9938,-5.789352977,1641.14801
15 m,5,14-Jul-14,10381,new,10325,-6.510044316,1641.14801
15 m,7,14-Jul-14,10670,new,10685,-7.153304961,1641.14801
15 m,10,14-Jul-14,10762,new,10746,-7.259850094,1641.14801
15 m,12,14-Jul-14,10740,new,10752,-7.27029266,1641.14801
15 m,15,14-Jul-14,10948,new,10909,-7.541201365,1641.14801
43 m,12,14-Jul-14,10734,new,10752,-7.27029266,1641.14801
43 m,16,14-Jul-14,10941,new,10923,-7.56514262,1641.14801
43 m,20,14-Jul-14,11129,new,11114,-7.88831643,1641.14801
43 m,24,14-Jul-14,11192,new,11201,-8.033428158,1641.14801
43 m,28,14-Jul-14,11257,new,11268,-8.144307587,1641.14801
43 m,32,14-Jul-14,11382,new,11377,-8.323096831,1641.14801
43 m,36,14-Jul-14,11432,new,11423,-8.397964023,1641.14801
43 m,40,14-Jul-14,11513,new,11524,-8.561147307,1641.14801
43 m,42,14-Jul-14,11523,new,11513,-8.543454144,1641.14801
15 m,1,15-Aug-14,6314,new,6278,3.127602692,1659.127643
15 m,2,15-Aug-14,8050,new,8053,-1.768778698,1650.168558
15 m,3,15-Aug-14,8860,new,8838,-3.559785264,1650.168558
15 m,4,15-Aug-14,9515,new,9468,-4.870464162,1650.168558
15 m,5,15-Aug-14,9967,new,9911,-5.737881039,1641.14801
15 m,7,15-Aug-14,10499,new,10514,-6.850890422,1641.14801
15 m,10,15-Aug-14,10761,new,10745,-7.25810902,1641.14801
15 m,12,15-Aug-14,10764,new,10776,-7.311996548,1641.14801
15 m,15,15-Aug-14,10952,new,10913,-7.548045298,1641.14801
43 m,12,15-Aug-14,10762,new,10780,-7.318936895,1641.14801
43 m,16,15-Aug-14,10971,new,10953,-7.616327663,1641.14801
43 m,20,15-Aug-14,11122,new,11107,-7.876584505,1641.14801
43 m,24,15-Aug-14,11189,new,11198,-8.028445729,1641.14801
43 m,28,15-Aug-14,11253,new,11264,-8.137709044,1641.14801
43 m,32,15-Aug-14,11380,new,11375,-8.31983391,1641.14801
43 m,36,15-Aug-14,11450,new,11441,-8.427166362,1641.14801
43 m,40,15-Aug-14,11511,new,11522,-8.557931801,1641.14801
43 m,42,15-Aug-14,11519,new,11509,-8.537015488,1641.14801
15 m,1,1-Sep-14,6561,new,6525,2.358729625,1659.127643
15 m,2,1-Sep-14,7948,new,7951,-1.521481802,1650.168558
15 m,3,1-Sep-14,8701,new,8679,-3.212086352,1650.168558
15 m,4,1-Sep-14,9335,new,9288,-4.506385118,1650.168558
15 m,5,1-Sep-14,9791,new,9735,-5.398388776,1641.14801
15 m,7,1-Sep-14,10403,new,10418,-6.678643942,1641.14801
15 m,10,1-Sep-14,10741,new,10725,-7.223248669,1641.14801
15 m,12,1-Sep-14,10773,new,10785,-7.327608199,1641.14801
15 m,15,1-Sep-14,10958,new,10919,-7.558305834,1641.14801
43 m,12,1-Sep-14,10770,new,10788,-7.33280878,1641.14801
43 m,16,1-Sep-14,10971,new,10953,-7.616327663,1641.14801
43 m,20,1-Sep-14,11120,new,11105,-7.873230978,1641.14801
43 m,24,1-Sep-14,11187,new,11196,-8.025123265,1641.14801
43 m,28,1-Sep-14,11250,new,11261,-8.132758384,1641.14801
