Bore.hole,Depth,date,resistance,multimeter,res.corrected,temperature,beta
43 m,32,1-Sep-14,11377,new,11372,-8.314938303,1641.14801
43 m,36,1-Sep-14,11447,new,11438,-8.422302945,1641.14801
43 m,40,1-Sep-14,11510,new,11521,-8.556323809,1641.14801
43 m,42,1-Sep-14,11518,new,11508,-8.535405425,1641.14801
15 m,1,19-Apr-15,12859,new,12823,NA,NA
15 m,2,19-Apr-15,12599,new,12602,NA,NA
15 m,3,19-Apr-15,12160,new,12138,-9.519330299,1641.14801
15 m,4,19-Apr-15,11514,new,11467,-8.469255174,1641.14801
15 m,5,19-Apr-15,10955,new,10899,-7.524079004,1641.14801
15 m,7,19-Apr-15,10209,new,10224,-6.32496728,1641.14801
15 m,10,19-Apr-15,10340,new,10324,-6.508222011,1641.14801
15 m,12,19-Apr-15,10547,new,10559,-6.931014326,1641.14801
15 m,15,19-Apr-15,10871,new,10832,-7.408894989,1641.14801
43 m,12,19-Apr-15,10519,new,10537,-6.891891417,1641.14801
43 m,16,19-Apr-15,10925,new,10907,-7.537778326,1641.14801
43 m,20,19-Apr-15,11079,new,11064,-7.804331485,1641.14801
43 m,24,19-Apr-15,11172,new,11181,-8.000183185,1641.14801
43 m,28,19-Apr-15,11240,new,11251,-8.116245314,1641.14801
43 m,32,19-Apr-15,11370,new,11365,-8.303509489,1641.14801
43 m,36,19-Apr-15,11439,new,11430,-8.409326718,1641.14801
43 m,40,19-Apr-15,11500,new,11511,-8.540235135,1641.14801
43 m,42,19-Apr-15,11503,new,11493,-8.511235327,1641.14801
15 m,1,16-May-15,8313,new,8277,-2.29952194,1650.168558
15 m,2,16-May-15,10697,new,10700,-7.179568801,1641.14801
15 m,3,16-May-15,11928,new,11906,-9.163913238,1641.14801
15 m,4,16-May-15,11433,new,11386,-8.337771886,1641.14801
15 m,5,16-May-15,11128,new,11072,-7.817798129,1641.14801
15 m,7,16-May-15,10437,new,10452,-6.73985427,1641.14801
15 m,10,16-May-15,10407,new,10391,-6.62987314,1641.14801
15 m,12,16-May-15,10536,new,10548,-6.911464508,1641.14801
15 m,15,16-May-15,10845,new,10806,-7.363977665,1641.14801
43 m,12,16-May-15,10520,new,10538,-6.893671752,1641.14801
43 m,16,16-May-15,10900,new,10882,-7.494929826,1641.14801
43 m,20,16-May-15,11093,new,11078,-7.827890832,1641.14801
43 m,24,16-May-15,11167,new,11176,-7.991861346,1641.14801
43 m,28,16-May-15,11240,new,11251,-8.116245314,1641.14801
43 m,32,16-May-15,11365,new,11360,-8.295341136,1641.14801
43 m,36,16-May-15,11439,new,11430,-8.409326718,1641.14801
43 m,40,16-May-15,11497,new,11508,-8.535405425,1641.14801
43 m,42,16-May-15,11508,new,11498,-8.519296021,1641.14801
15 m,1,15-Jun-15,7369,new,7333,0.05851811,1659.127643
15 m,2,15-Jun-15,8958,new,8961,-3.823895355,1650.168558
15 m,3,15-Jun-15,9931,new,9909,-5.734061937,1641.14801
15 m,4,15-Jun-15,10537,new,10490,-6.807997528,1641.14801
15 m,5,15-Jun-15,10755,new,10699,-7.177819186,1641.14801
15 m,7,15-Jun-15,10568,new,10583,-6.973587939,1641.14801
15 m,10,15-Jun-15,10507,new,10491,-6.809786966,1641.14801
15 m,12,15-Jun-15,10551,new,10563,-6.93811759,1641.14801
15 m,15,15-Jun-15,10838,new,10799,-7.351863474,1641.14801
43 m,12,15-Jun-15,10547,new,10565,-6.941668072,1641.14801
43 m,16,15-Jun-15,10889,new,10871,-7.476040902,1641.14801
43 m,20,15-Jun-15,11090,new,11075,-7.82284526,1641.14801
43 m,24,15-Jun-15,11170,new,11179,-7.996854959,1641.14801
43 m,28,15-Jun-15,11237,new,11248,-8.111288129,1641.14801
43 m,32,15-Jun-15,11366,new,11361,-8.296975134,1641.14801
43 m,36,15-Jun-15,11436,new,11427,-8.404457963,1641.14801
43 m,40,15-Jun-15,11498,new,11509,-8.537015488,1641.14801
43 m,42,15-Jun-15,11509,new,11499,-8.52090768,1641.14801
15 m,1,14-Jul-15,5688,new,5652,5.241269776,1666.952791
15 m,2,14-Jul-15,8327,new,8330,-2.422700129,1650.168558
15 m,3,14-Jul-15,9238,new,9216,-4.358492283,1650.168558
15 m,4,14-Jul-15,9891,new,9844,-5.609459853,1641.14801
15 m,5,14-Jul-15,10265,new,10209,-6.29730271,1641.14801
15 m,7,14-Jul-15,10504,new,10519,-6.859812381,1641.14801
15 m,10,14-Jul-15,10575,new,10559,-6.931014326,1641.14801
15 m,12,14-Jul-15,10571,new,10583,-6.973587939,1641.14801
15 m,15,14-Jul-15,10828,new,10789,-7.334541941,1641.14801
43 m,12,14-Jul-15,10582,new,10600,-7.003677659,1641.14801
43 m,16,14-Jul-15,10881,new,10863,-7.462289805,1641.14801
43 m,20,14-Jul-15,11082,new,11067,-7.809382777,1641.14801
43 m,24,14-Jul-15,11166,new,11175,-7.990196468,1641.14801
43 m,28,14-Jul-15,11236,new,11247,-8.109635399,1641.14801
43 m,32,14-Jul-15,11364,new,11359,-8.293706973,1641.14801
43 m,36,14-Jul-15,11437,new,11428,-8.406081043,1641.14801
43 m,40,14-Jul-15,11498,new,11509,-8.537015488,1641.14801
43 m,42,14-Jul-15,11508,new,11498,-8.519296021,1641.14801
15 m,1,15-Aug-15,5866,new,5830,4.614774903,1659.127643
15 m,2,15-Aug-15,7995,new,7998,-1.635880068,1650.168558
15 m,3,15-Aug-15,8787,new,8765,-3.401044467,1650.168558
15 m,4,15-Aug-15,9428,new,9381,-4.695488246,1650.168558
15 m,5,15-Aug-15,9856,new,9800,-5.524579536,1641.14801
15 m,7,15-Aug-15,10346,new,10361,-6.575513478,1641.14801
15 m,10,15-Aug-15,10588,new,10572,-6.954088721,1641.14801
15 m,12,15-Aug-15,10609,new,10621,-7.040771393,1641.14801
15 m,15,15-Aug-15,10833,new,10794,-7.343204996,1641.14801
43 m,12,15-Aug-15,10610,new,10628,-7.05311738,1641.14801
43 m,16,15-Aug-15,10879,new,10861,-7.458850226,1641.14801
43 m,20,15-Aug-15,11074,new,11059,-7.795909192,1641.14801
43 m,24,15-Aug-15,11163,new,11172,-7.985200817,1641.14801
43 m,28,15-Aug-15,11237,new,11248,-8.111288129,1641.14801
43 m,32,15-Aug-15,11365,new,11360,-8.295341136,1641.14801
43 m,36,15-Aug-15,11433,new,11424,-8.399587751,1641.14801
43 m,40,15-Aug-15,11496,new,11507,-8.533795203,1641.14801
43 m,42,15-Aug-15,11506,new,11496,-8.516072223,1641.14801
15 m,1,15-Sep-15,NA,new,,NA,NA
15 m,2,15-Sep-15,NA,new,,NA,NA
15 m,3,15-Sep-15,NA,new,,NA,NA
15 m,4,15-Sep-15,NA,new,,NA,NA
15 m,5,15-Sep-15,NA,new,,NA,NA
15 m,7,15-Sep-15,NA,new,,NA,NA
15 m,10,15-Sep-15,NA,new,,NA,NA
15 m,12,15-Sep-15,NA,new,,NA,NA
15 m,15,15-Sep-15,NA,new,,NA,NA
43 m,12,15-Sep-15,NA,new,,NA,NA
43 m,16,15-Sep-15,NA,new,,NA,NA
43 m,20,15-Sep-15,NA,new,,NA,NA
43 m,24,15-Sep-15,NA,new,,NA,NA
43 m,28,15-Sep-15,NA,new,,NA,NA
43 m,32,15-Sep-15,NA,new,,NA,NA
43 m,36,15-Sep-15,NA,new,,NA,NA
43 m,40,15-Sep-15,NA,new,,NA,NA
43 m,42,15-Sep-15,NA,new,,NA,NA
15 m,1,15-Apr-16,13540,new,13504,NA,NA
15 m,2,15-Apr-16,12729,new,12732,NA,NA
15 m,3,15-Apr-16,12134,new,12112,-9.479885916,1641.14801
15 m,4,15-Apr-16,11296,new,11249,-8.112940691,1641.14801
15 m,5,15-Apr-16,10750,new,10694,-7.169068309,1641.14801
15 m,7,15-Apr-16,10077,new,10092,-6.079914174,1641.14801
15 m,10,15-Apr-16,10220,new,10204,-6.288070877,1641.14801
15 m,12,15-Apr-16,10437,new,10449,-6.734462503,1641.14801
15 m,15,15-Apr-16,10765,new,10726,-7.224993448,1641.14801
43 m,12,15-Apr-16,NA,new,,NA,NA
43 m,16,15-Apr-16,NA,new,,NA,NA
43 m,20,15-Apr-16,NA,new,,NA,NA
43 m,24,15-Apr-16,NA,new,,NA,NA
43 m,28,15-Apr-16,NA,new,,NA,NA
43 m,32,15-Apr-16,NA,new,,NA,NA
43 m,36,15-Apr-16,NA,new,,NA,NA
43 m,40,15-Apr-16,NA,new,,NA,NA
43 m,42,15-Apr-16,NA,new,,NA,NA
15 m,1,15-May-16,8482,new,8446,-2.689201146,1650.168558
15 m,2,15-May-16,11000,new,11003,-7.70128176,1641.14801
15 m,3,15-May-16,11488,new,11466,-8.467638387,1641.14801
15 m,4,15-May-16,11386,new,11339,-8.260989232,1641.14801
15 m,5,15-May-16,11035,new,10979,-7.660558864,1641.14801
15 m,7,15-May-16,10323,new,10338,-6.533715964,1641.14801
15 m,10,15-May-16,10791,new,10775,-7.310261003,1641.14801
15 m,12,15-May-16,10923,new,10935,-7.585635855,1641.14801
15 m,15,15-May-16,10740,new,10701,-7.181318231,1641.14801
43 m,12,15-May-16,NA,new,,NA,NA
43 m,16,15-May-16,NA,new,,NA,NA
43 m,20,15-May-16,NA,new,,NA,NA
43 m,24,15-May-16,NA,new,,NA,NA
43 m,28,15-May-16,NA,new,,NA,NA
43 m,32,15-May-16,NA,new,,NA,NA
43 m,36,15-May-16,NA,new,,NA,NA
43 m,40,15-May-16,NA,new,,NA,NA
43 m,42,15-May-16,NA,new,,NA,NA
15 m,1,15-Jun-16,7415,new,7379,-0.063955467,1650.168558
15 m,2,15-Jun-16,8995,new,8998,-3.902534044,1650.168558
15 m,3,15-Jun-16,9951,new,9929,-5.77221342,1641.14801
15 m,4,15-Jun-16,10522,new,10475,-6.781132571,1641.14801
15 m,5,15-Jun-16,10713,new,10657,-7.104166401,1641.14801
15 m,7,15-Jun-16,10471,new,10486,-6.800837827,1641.14801
15 m,10,15-Jun-16,10398,new,10382,-6.613584065,1641.14801
15 m,12,15-Jun-16,10443,new,10455,-6.74524427,1641.14801
15 m,15,15-Jun-16,10727,new,10688,-7.158561093,1641.14801
43 m,12,15-Jun-16,10430,new,10448,-6.732664855,1641.14801
43 m,16,15-Jun-16,10798,new,10780,-7.318936895,1641.14801
43 m,20,15-Jun-16,11022,new,11007,-7.708059059,1641.14801
43 m,24,15-Jun-16,11126,new,11135,-7.923461708,1641.14801
43 m,28,15-Jun-16,11210,new,11221,-8.06660551,1641.14801
43 m,32,15-Jun-16,11345,new,11340,-8.262626681,1641.14801
43 m,36,15-Jun-16,11420,new,11411,-8.378466634,1641.14801
43 m,40,15-Jun-16,11484,new,11495,-8.514460084,1641.14801
43 m,42,15-Jun-16,11494,new,11484,-8.496715999,1641.14801
15 m,1,17-Jul-16,5697,new,5661,5.209146714,1666.952791
15 m,2,17-Jul-16,8319,new,8322,-2.404164665,1650.168558
15 m,3,17-Jul-16,9213,new,9191,-4.306831877,1650.168558
15 m,4,17-Jul-16,9892,new,9845,-5.611383915,1641.14801
15 m,5,17-Jul-16,10202,new,10146,-6.180602816,1641.14801
15 m,7,17-Jul-16,10412,new,10427,-6.694868834,1641.14801
15 m,10,17-Jul-16,10170,new,10154,-6.195467624,1641.14801
15 m,12,17-Jul-16,10477,new,10489,-6.806207895,1641.14801
15 m,15,17-Jul-16,10738,new,10699,-7.177819186,1641.14801
43 m,12,17-Jul-16,10456,new,10474,-6.779340013,1641.14801
43 m,16,17-Jul-16,10788,new,10770,-7.301580516,1641.14801
43 m,20,17-Jul-16,11015,new,11000,-7.696196941,1641.14801
43 m,24,17-Jul-16,11122,new,11131,-7.9167732,1641.14801
43 m,28,17-Jul-16,11209,new,11220,-8.064948244,1641.14801
43 m,32,17-Jul-16,11346,new,11341,-8.264263966,1641.14801
43 m,36,17-Jul-16,11418,new,11409,-8.375214797,1641.14801
43 m,40,17-Jul-16,11482,new,11493,-8.511235327,1641.14801
43 m,42,17-Jul-16,11442,new,11432,-8.412571745,1641.14801
15 m,1,16-Aug-16,6107,new,6071,3.799123411,1659.127643
15 m,2,16-Aug-16,8001,new,8004,-1.65042878,1650.168558
15 m,3,16-Aug-16,8791,new,8769,-3.409781631,1650.168558
15 m,4,16-Aug-16,9420,new,9373,-4.679305594,1650.168558
15 m,5,16-Aug-16,9826,new,9770,-5.466456758,1641.14801
15 m,7,16-Aug-16,10273,new,10288,-6.442484567,1641.14801
15 m,10,16-Aug-16,10489,new,10473,-6.777547261,1641.14801
15 m,12,16-Aug-16,10506,new,10518,-6.858028377,1641.14801
15 m,15,16-Aug-16,10734,new,10695,-7.170818857,1641.14801
43 m,12,16-Aug-16,10483,new,10501,-6.827670655,1641.14801
43 m,16,16-Aug-16,10784,new,10766,-7.294632817,1641.14801
43 m,20,16-Aug-16,11008,new,10993,-7.68432621,1641.14801
43 m,24,16-Aug-16,11118,new,11127,-7.91008195,1641.14801
43 m,28,16-Aug-16,11207,new,11218,-8.061633208,1641.14801
43 m,32,16-Aug-16,11343,new,11338,-8.259351618,1641.14801
43 m,36,16-Aug-16,11417,new,11408,-8.373588634,1641.14801
43 m,40,16-Aug-16,11481,new,11492,-8.509622709,1641.14801
43 m,42,16-Aug-16,11491,new,11481,-8.49187334,1641.14801
15 m,1,3-Sep-16,6563,new,6527,2.352640589,1659.127643
15 m,2,3-Sep-16,7882,new,7885,-1.359525985,1650.168558
15 m,3,3-Sep-16,8625,new,8603,-3.043311546,1650.168558
15 m,4,3-Sep-16,9227,new,9180,-4.284050459,1650.168558
15 m,5,3-Sep-16,9646,new,9590,-5.113385782,1641.14801
15 m,7,3-Sep-16,10181,new,10196,-6.2732892,1641.14801
15 m,10,3-Sep-16,10475,new,10459,-6.752428194,1641.14801
15 m,12,3-Sep-16,10510,new,10522,-6.865163234,1641.14801
15 m,15,3-Sep-16,10738,new,10699,-7.177819186,1641.14801
43 m,12,3-Sep-16,10489,new,10507,-6.838391543,1641.14801
43 m,16,3-Sep-16,10784,new,10766,-7.294632817,1641.14801
43 m,20,3-Sep-16,11003,new,10988,-7.675841837,1641.14801
43 m,24,3-Sep-16,11116,new,11125,-7.906735297,1641.14801
43 m,28,3-Sep-16,11206,new,11217,-8.059975437,1641.14801
43 m,32,3-Sep-16,11341,new,11336,-8.256075896,1641.14801
43 m,36,3-Sep-16,11416,new,11407,-8.371962309,1641.14801
43 m,40,3-Sep-16,11480,new,11491,-8.50800993,1641.14801
43 m,42,3-Sep-16,11491,new,11481,-8.49187334,1641.14801
15 m,1,11-Apr-17,13895,new,13859,NA,NA
15 m,2,11-Apr-17,13432,new,13435,NA,NA
15 m,3,11-Apr-17,12517,new,12495,NA,NA
15 m,4,11-Apr-17,11353,new,11306,-8.206860843,1641.14801
15 m,5,11-Apr-17,10275,new,10219,-6.315750906,1641.14801
15 m,7,11-Apr-17,9933,new,9948,-5.808376162,1641.14801
15 m,10,11-Apr-17,10130,new,10114,-6.121009527,1641.14801
15 m,12,11-Apr-17,10365,new,10377,-6.604527615,1641.14801
15 m,15,11-Apr-17,10688,new,10649,-7.090099756,1641.14801
43 m,12,11-Apr-17,10320,new,10338,-6.533715964,1641.14801
43 m,16,11-Apr-17,10744,new,10726,-7.224993448,1641.14801
43 m,20,11-Apr-17,10972,new,10957,-7.623140253,1641.14801
43 m,24,11-Apr-17,11087,new,11096,-7.858131577,1641.14801
43 m,28,11-Apr-17,11185,new,11196,-8.025123265,1641.14801
43 m,32,11-Apr-17,11329,new,11324,-8.236407716,1641.14801
43 m,36,11-Apr-17,11412,new,11403,-8.365455383,1641.14801
43 m,40,11-Apr-17,11474,new,11485,-8.498329898,1641.14801
43 m,42,11-Apr-17,11486,new,11476,-8.483799035,1641.14801
15 m,1,15-May-17,9954,new,9918,-5.751240972,1641.14801
15 m,2,15-May-17,11460,new,11463,-8.462787058,1641.14801
15 m,3,15-May-17,11738,new,11716,-8.86690857,1641.14801
15 m,4,15-May-17,11519,new,11472,-8.477336703,1641.14801
15 m,5,15-May-17,11106,new,11050,-7.780738116,1641.14801
15 m,7,15-May-17,10254,new,10269,-6.407683888,1641.14801
15 m,10,15-May-17,10209,new,10193,-6.267742659,1641.14801
15 m,12,15-May-17,10351,new,10363,-6.57914304,1641.14801
15 m,15,15-May-17,10669,new,10630,-7.056643101,1641.14801
43 m,12,15-May-17,10313,new,10331,-6.520973916,1641.14801
43 m,16,15-May-17,10726,new,10708,-7.193559015,1641.14801
43 m,20,15-May-17,10960,new,10945,-7.602693967,1641.14801
43 m,24,15-May-17,11077,new,11086,-7.841338076,1641.14801
43 m,28,15-May-17,11177,new,11188,-8.011826634,1641.14801
43 m,32,15-May-17,11318,new,11313,-8.218357663,1641.14801
43 m,36,15-May-17,11398,new,11389,-8.342660632,1641.14801
43 m,40,15-May-17,11463,new,11474,-8.48056819,1641.14801
43 m,42,15-May-17,11474,new,11464,-8.464404329,1641.14801
15 m,1,15-Jun-17,7707,new,7671,-0.823540155,1650.168558
15 m,2,15-Jun-17,9187,new,9190,-4.304762126,1650.168558
15 m,3,15-Jun-17,10147,new,10125,-6.141518963,1641.14801
15 m,4,15-Jun-17,10683,new,10636,-7.067215726,1641.14801
15 m,5,15-Jun-17,10809,new,10753,-7.272032441,1641.14801
15 m,7,15-Jun-17,10435,new,10450,-6.736259955,1641.14801
15 m,10,15-Jun-17,10317,new,10301,-6.466253327,1641.14801
15 m,12,15-Jun-17,10366,new,10378,-6.606339303,1641.14801
15 m,15,15-Jun-17,10651,new,10612,-7.024884333,1641.14801
43 m,12,15-Jun-17,10338,new,10356,-6.566436075,1641.14801
43 m,16,15-Jun-17,10716,new,10698,-7.176069384,1641.14801
43 m,20,15-Jun-17,10953,new,10938,-7.590755156,1641.14801
43 m,24,15-Jun-17,11072,new,11081,-7.832934846,1641.14801
43 m,28,15-Jun-17,11174,new,11185,-8.006837602,1641.14801
43 m,32,15-Jun-17,11320,new,11315,-8.221640979,1641.14801
43 m,36,15-Jun-17,11390,new,11381,-8.329620711,1641.14801
43 m,40,15-Jun-17,11464,new,11475,-8.482183693,1641.14801
43 m,42,15-Jun-17,11484,new,11474,-8.48056819,1641.14801
15 m,1,15-Jul-17,6258,new,6222,3.306740926,1659.127643
15 m,2,15-Jul-17,8488,new,8491,-2.79146154,1650.168558
15 m,3,15-Jul-17,9361,new,9339,-4.61035302,1650.168558
15 m,4,15-Jul-17,9975,new,9928,-5.77030793,1641.14801
15 m,5,15-Jul-17,10301,new,10245,-6.36361996,1641.14801
15 m,7,15-Jul-17,10407,new,10422,-6.685856979,1641.14801
15 m,10,15-Jul-17,10403,new,10387,-6.62263554,1641.14801
15 m,12,15-Jul-17,10398,new,10410,-6.664208384,1641.14801
15 m,15,15-Jul-17,10655,new,10616,-7.031947145,1641.14801
43 m,12,15-Jul-17,10379,new,10397,-6.640723583,1641.14801
43 m,16,15-Jul-17,10707,new,10689,-7.160312762,1641.14801
43 m,20,15-Jul-17,10946,new,10931,-7.578807628,1641.14801
43 m,24,15-Jul-17,11043,new,11052,-7.784110683,1641.14801
43 m,28,15-Jul-17,11170,new,11181,-8.000183185,1641.14801
43 m,32,15-Jul-17,11316,new,11311,-8.215073685,1641.14801
43 m,36,15-Jul-17,11396,new,11387,-8.339401631,1641.14801
43 m,40,15-Jul-17,11465,new,11476,-8.483799035,1641.14801
43 m,42,15-Jul-17,11301,new,11291,-8.182197447,1641.14801
15 m,1,15-Aug-17,6381,new,6345,2.915664668,1659.127643
15 m,2,15-Aug-17,8095,new,8098,-1.876744693,1650.168558
15 m,3,15-Aug-17,8888,new,8866,-3.620275292,1650.168558
15 m,4,15-Aug-17,9504,new,9457,-4.848442323,1650.168558
15 m,5,15-Aug-17,9896,new,9840,-5.601761375,1641.14801
15 m,7,15-Aug-17,10276,new,10291,-6.447972706,1641.14801
15 m,10,15-Aug-17,10433,new,10417,-6.67684019,1641.14801
15 m,12,15-Aug-17,10435,new,10447,-6.730867011,1641.14801
15 m,15,15-Aug-17,10661,new,10622,-7.042535673,1641.14801
43 m,12,15-Aug-17,10415,new,10433,-6.705676554,1641.14801
43 m,16,15-Aug-17,10705,new,10687,-7.156809236,1641.14801
43 m,20,15-Aug-17,10940,new,10925,-7.568559941,1641.14801
43 m,24,15-Aug-17,11066,new,11075,-7.82284526,1641.14801
43 m,28,15-Aug-17,11168,new,11179,-7.996854959,1641.14801
43 m,32,15-Aug-17,11312,new,11307,-8.208503743,1641.14801
43 m,36,15-Aug-17,11393,new,11384,-8.334511906,1641.14801
43 m,40,15-Aug-17,11461,new,11472,-8.477336703,1641.14801
43 m,42,15-Aug-17,11474,new,11464,-8.464404329,1641.14801
15 m,1,29-Aug-17,6414,new,6378,2.812216712,1659.127643
15 m,2,29-Aug-17,7986,new,7989,-1.614033593,1650.168558
15 m,3,29-Aug-17,8731,new,8709,-3.278243896,1650.168558
15 m,4,29-Aug-17,9332,new,9285,-4.500249078,1650.168558
15 m,5,29-Aug-17,9737,new,9681,-5.292819617,1641.14801
15 m,7,29-Aug-17,10202,new,10217,-6.312062916,1641.14801
15 m,10,29-Aug-17,10433,new,10417,-6.67684019,1641.14801
15 m,12,29-Aug-17,10449,new,10461,-6.75601898,1641.14801
15 m,15,29-Aug-17,10664,new,10625,-7.047827379,1641.14801
43 m,12,29-Aug-17,10426,new,10444,-6.7254723,1641.14801
43 m,16,29-Aug-17,10705,new,10687,-7.156809236,1641.14801
43 m,20,29-Aug-17,10939,new,10924,-7.56685137,1641.14801
43 m,24,29-Aug-17,11065,new,11074,-7.821163056,1641.14801
43 m,28,29-Aug-17,11166,new,11177,-7.993526053,1641.14801
43 m,32,29-Aug-17,11310,new,11305,-8.205217778,1641.14801
43 m,36,29-Aug-17,11392,new,11383,-8.332881671,1641.14801
43 m,40,29-Aug-17,11459,new,11470,-8.474104574,1641.14801
43 m,42,29-Aug-17,11473,new,11463,-8.462787058,1641.14801